Train Loss,Valid Loss,F1 Score,Precision,Recall
0.6279,0.5336,0.2997,0.1766,0.9894
0.5371,0.4746,0.296,0.1775,0.8897
0.4919,0.4125,0.322,0.1978,0.865
0.4432,0.3559,0.3685,0.2374,0.8231
0.3978,0.3099,0.3895,0.2662,0.7252
0.3661,0.2949,0.4201,0.3094,0.6539
0.3451,0.2828,0.4311,0.3131,0.6922
0.3318,0.2755,0.4415,0.3323,0.6574
0.3174,0.2699,0.4491,0.3479,0.6333
0.3093,0.269,0.4461,0.349,0.6179
0.301,0.2706,0.4435,0.346,0.6173
0.2927,0.2687,0.4479,0.3512,0.6179
0.2873,0.2681,0.4493,0.3565,0.6073
0.2828,0.2667,0.4554,0.3641,0.6079
0.2775,0.2679,0.4542,0.3673,0.5949
0.2749,0.2669,0.4553,0.3747,0.5802
0.2702,0.2675,0.4561,0.3731,0.5867
0.2683,0.2663,0.4583,0.3703,0.6173
0.2694,0.2681,0.4618,0.3694,0.6121
0.2689,0.2663,0.4623,0.3694,0.6173
0.2588,0.262,0.4662,0.3756,0.6144
0.2591,0.2617,0.4623,0.3694,0.6173
0.2566,0.2625,0.4677,0.3743,0.6232
0.2521,0.2621,0.4675,0.3769,0.6156
0.2451,0.2638,0.4694,0.3849,0.6014
0.2395,0.2648,0.4738,0.3858,0.6138
0.2336,0.264,0.4767,0.3855,0.6244
0.2274,0.2655,0.4802,0.4048,0.5902
0.224,0.2646,0.4837,0.388,0.6421
0.2194,0.2671,0.483,0.3934,0.6256
0.215,0.2679,0.4809,0.3885,0.6309
0.2108,0.2693,0.4816,0.396,0.6144
0.2087,0.2687,0.4869,0.3973,0.6285
0.2064,0.2743,0.4856,0.4099,0.5955
0.2024,0.2751,0.4911,0.4116,0.6085
0.2008,0.2775,0.4975,0.421,0.6079
0.1997,0.2753,0.4929,0.4133,0.6103
0.1978,0.2745,0.491,0.4112,0.6091
0.1968,0.2724,0.492,0.4102,0.6144
0.1963,0.2754,0.4929,0.4175,0.6014
0.2031,0.2643,0.4711,0.3834,0.6108
0.2027,0.2672,0.459,0.3836,0.5713
0.1973,0.2667,0.4662,0.3748,0.6167
0.1964,0.2659,0.4729,0.384,0.6156
0.1967,0.2703,0.4658,0.3907,0.5767
0.1971,0.2685,0.4723,0.3837,0.6144
0.1968,0.268,0.4806,0.3877,0.6321
0.1971,0.2687,0.4777,0.3983,0.5967
0.1969,0.2679,0.4837,0.3911,0.6338
0.1963,0.269,0.4821,0.3876,0.6374
0.1976,0.2707,0.4807,0.3894,0.6279
0.1973,0.2727,0.4834,0.3998,0.6114
0.1969,0.2707,0.4868,0.4015,0.6179
0.1971,0.2769,0.4878,0.4154,0.5908
0.1959,0.2781,0.4921,0.4176,0.5991
0.1949,0.28,0.4972,0.4218,0.6055
0.1935,0.2773,0.4962,0.4167,0.6132
0.1918,0.2776,0.4937,0.4153,0.6085
0.1908,0.2759,0.4921,0.4129,0.6091
0.1901,0.2793,0.4937,0.4204,0.5979
